"Word","Length","Freq_KF","Freq_HAL","BG_Freq_By_Pos"
"sandbank","8","NULL","8","1984"
"sandbars","8","1","20","2062"
"sandwich","8","10","2328","1922"
"sanguine","8","NULL","163","2728"
"sanitary","8","4","472","2202"
"Sanskrit","8","NULL","1044","2077"
"sapphire","8","NULL","2832","1176"
"Sarasota","8","1","676","2164"
"Saratoga","8","4","868","2231"
"sarcasms","8","1","16","1818"
"sardines","8","2","245","3768"
"sardonic","8","2","138","2580"
"Satanism","8","NULL","1296","2108"
"satiable","8","NULL","6","1861"
"satirist","8","1","85","2422"
"satirize","8","NULL","50","2027"
"saturate","8","NULL","274","2765"
"Saturday","8","67","24556","1429"
"saucepan","8","3","602","1385"
"sausages","8","5","297","1712"
"savagely","8","3","212","1170"
"savagery","8","1","221","1870"
"savannah","8","9","6194","1207"
"savoring","8","3","205","3194"
"sawhorse","8","NULL","54","1420"
"sayonara","8","1","81","1410"
"scabbard","8","5","108","972"
"scaffold","8","6","81","775"
"scalawag","8","NULL","14","1091"
"scalding","8","1","108","2710"
"scallion","8","NULL","167","1990"
"scallops","8","1","161","1088"
"scandals","8","7","685","1658"
"scanners","8","1","3847","2425"
"scanning","8","4","6002","3021"
"scarcely","8","24","742","1463"
"scarcity","8","3","611","1644"
"scarface","8","1","210","1299"
"scathing","8","1","340","2954"
"Robinson","8","38","9085","1685"
"rockabye","8","1","5","985"
"rocketry","8","NULL","627","1743"
"rocket's","8","2","137","1752"
"rocklike","8","2","5","1446"
"Rockport","8","2","190","1169"
"romances","8","2","496","2193"
"romantic","8","32","6456","2590"
"roofer's","8","1","0","2493"
"rooftops","8","1","176","1022"
"rooftree","8","1","2","1414"
"roommate","8","1","2998","2185"
"roosters","8","2","92","2953"
"rootless","8","2","79","2766"
"ropewalk","8","NULL","7","1269"
"rosaries","8","3","40","2152"
"rosebuds","8","4","45","976"
"rosebush","8","1","8","1149"
"roseleaf","8","NULL","0","2019"
"rosemary","8","1","1409","1460"
"rosettes","8","1","1175","2074"
"rosewood","8","NULL","573","1026"
"rotating","8","11","2873","3388"
"rotation","8","11","4180","2295"
"roughage","8","NULL","66","1291"
"roughest","8","1","66","2310"
"roughish","8","1","2","1532"
"roulette","8","4","779","2282"
"rounding","8","5","1062","3252"
"roundups","8","1","49","1395"
"Rousseau","8","19","389","1470"
"routines","8","3","9192","3577"
"routings","8","1","88","3462"
"royalist","8","NULL","64","1663"
"rucksack","8","NULL","60","1071"
"rudeness","8","1","585","2345"
"rudiment","8","NULL","5","1528"
"rulebook","8","NULL","1259","988"
"ruefully","8","3","65","774"
"ruffians","8","1","156","1012"
"ruggedly","8","1","38","1507"
"ruling's","8","1","0","1812"
"rumbling","8","2","256","2882"
"ruminate","8","NULL","70","2437"
"rummaged","8","1","121","1878"
"runabout","8","1","566","988"
"ruptured","8","2","310","1856"
"Rushmore","8","1","511","1109"
"Russians","8","31","4981","1519"
"Russia's","8","14","1352","1310"
"rustlers","8","1","21","3178"
"rustling","8","10","203","3527"
"rutabaga","8","1","83","965"
"ruthless","8","7","1169","2410"
"sabotage","8","3","1055","1134"
"saboteur","8","NULL","156","1359"
"retorted","8","3","230","3799"
"retraced","8","1","42","3563"
"retreats","8","1","375","3534"
"retrieve","8","2","8640","2885"
"returned","8","115","23694","3318"
"reunions","8","1","217","2562"
"reunited","8","2","404","3500"
"reusable","8","NULL","1170","2210"
"revamped","8","3","467","2775"
"revealed","8","39","8947","3755"
"reveille","8","NULL","15","2629"
"reveling","8","1","107","4569"
"reveller","8","NULL","2","3502"
"revenues","8","26","5157","3201"
"reverend","8","21","1856","4243"
"reverent","8","3","101","4423"
"reversal","8","2","2018","3913"
"reversed","8","8","3885","4597"
"reverses","8","2","490","4405"
"reverted","8","2","443","4789"
"reviewed","8","13","5682","2886"
"reviewer","8","2","1700","2626"
"revising","8","1","589","4201"
"revision","8","8","8583","3108"
"revivals","8","5","168","2399"
"revivify","8","NULL","14","2082"
"reviving","8","2","394","3769"
"revolted","8","1","220","3184"
"rewrites","8","1","334","3279"
"revolved","8","4","280","2903"
"revolver","8","14","1173","2643"
"revolves","8","1","742","2711"
"rewarded","8","3","2541","3010"
"rhapsody","8","NULL","403","759"
"rhetoric","8","5","4207","1753"
"rhomboid","8","NULL","10","713"
"rhythmic","8","11","867","888"
"Richmond","8","12","6701","1131"
"richness","8","5","552","1809"
"Rickey's","8","1","6","1451"
"rickshaw","8","1","62","1136"
"ricochet","8","NULL","232","1312"
"riddance","8","1","354","1262"
"riddling","8","2","26","2831"
"ridicule","8","5","1800","1423"
"riffraff","8","NULL","70","855"
"rifleman","8","4","228","1522"
"riflemen","8","6","50","1605"
"rightful","8","4","908","908"
"rightist","8","1","298","1850"
"rigidity","8","NULL","305","1366"
"rigorous","8","7","1624","1352"
"ringings","8","1","3","3114"
"ringlets","8","1","57","2214"
"ringside","8","1","351","1609"
"ringworm","8","NULL","171","1373"
"ripening","8","3","56","3162"
"rippling","8","3","330","2836"
"rivalled","8","1","30","2114"
"riverbed","8","NULL","44","2952"
"riveting","8","NULL","189","3208"
"rivulets","8","1","91","1560"
"roadside","8","4","485","1290"
"roadster","8","1","186","2246"
"roadways","8","1","232","906"
"repelled","8","5","258","3822"
"replaced","8","42","20454","3241"
"replaces","8","6","2697","3049"
"replying","8","1","6360","3763"
"reponses","8","1","297","3202"
"reported","8","119","31191","3747"
"reporter","8","20","5542","3487"
"reprieve","8","2","179","2736"
"reprints","8","3","1297","3952"
"reprisal","8","3","212","3020"
"reproach","8","3","288","2607"
"republic","8","43","17582","2563"
"repulsed","8","1","324","3069"
"requests","8","14","24625","2872"
"required","8","182","88963","2881"
"requires","8","57","46800","2689"
"requital","8","NULL","10","2467"
"rescript","8","NULL","29","2750"
"rescuing","8","2","486","4122"
"resealed","8","1","89","3966"
"research","8","171","126031","2846"
"resemble","8","8","2352","2787"
"resented","8","8","290","4290"
"reserved","8","27","15567","4610"
"reserves","8","5","3554","4418"
"resettle","8","NULL","64","2794"
"reshaped","8","1","227","3121"
"reshapes","8","1","11","2929"
"resinous","8","NULL","18","3058"
"resident","8","13","9664","3243"
"residing","8","6","1465","4232"
"residual","8","1","2838","2681"
"residues","8","3","423","2953"
"resifted","8","1","0","3489"
"resigned","8","9","1836","3490"
"resisted","8","9","1199","4251"
"resistor","8","3","2619","3458"
"resolute","8","4","165","2879"
"resolved","8","21","6517","3228"
"resolves","8","3","1155","3036"
"resonant","8","4","724","3133"
"resonate","8","NULL","278","3620"
"resorted","8","5","870","3914"
"resounds","8","1","24","2528"
"resource","8","9","31910","2584"
"respects","8","22","2856","3073"
"responds","8","7","4210","2992"
"response","8","77","77995","3137"
"restates","8","1","33","4384"
"restless","8","13","956","4470"
"restored","8","14","4314","4482"
"restrain","8","10","874","4312"
"restrict","8","11","7667","3878"
"resulted","8","37","6200","3496"
"resuming","8","4","283","4035"
"retailer","8","1","1758","3315"
"retained","8","22","3416","4381"
"retainer","8","NULL","2610","4121"
"retarded","8","7","1402","3452"
"retching","8","1","83","4105"
"reticent","8","NULL","109","3328"
"retiring","8","8","772","4476"
"regained","8","4","816","4124"
"regarded","8","56","5629","3195"
"regattas","8","1","54","2485"
"regicide","8","NULL","6","2561"
"regiment","8","25","1400","2761"
"Reginald","8","1","1182","2863"
"regional","8","42","15782","2931"
"region's","8","3","449","2635"
"register","8","26","20789","3596"
"rehearse","8","1","223","2592"
"registry","8","7","5568","2860"
"reground","8","1","8","2458"
"regulars","8","6","1938","2577"
"regulate","8","2","3419","3274"
"reigning","8","3","284","3728"
"reindeer","8","NULL","416","3081"
"reinsure","8","NULL","0","2611"
"rejected","8","33","8830","3130"
"rejoiced","8","1","154","2855"
"rejoices","8","1","152","2663"
"rekindle","8","NULL","137","2562"
"relating","8","20","8251","4713"
"relation","8","63","8066","3620"
"relative","8","46","18302","3154"
"relaxing","8","5","1739","3824"
"relaying","8","1","302","3876"
"relearns","8","1","0","2877"
"released","8","26","45360","3558"
"releases","8","8","16130","3366"
"relegate","8","NULL","134","3472"
"relented","8","3","196","4254"
"relevant","8","23","25732","2920"
"reliable","8","22","16975","2825"
"reliably","8","1","2926","2714"
"reliance","8","7","1473","3074"
"relieved","8","24","1866","3400"
"relieves","8","2","300","3208"
"religion","8","119","40955","3086"
"relishes","8","2","54","3541"
"reliving","8","2","168","4145"
"reloaded","8","2","494","3214"
"relocate","8","NULL","2261","3410"
"remained","8","105","7721","4215"
"remaking","8","1","145","3743"
"remanded","8","2","169","3477"
"remarked","8","32","1625","3009"
"remedial","8","1","702","2927"
"remedies","8","6","1580","3194"
"remember","8","138","142627","2734"
"reminded","8","29","5105","3778"
"reminder","8","8","3544","3518"
"remitted","8","1","62","3563"
"remnants","8","2","903","2702"
"remotely","8","4","4273","2930"
"remotest","8","1","125","3567"
"removing","8","8","9709","3754"
"renewing","8","1","485","4163"
"rendered","8","28","3534","5341"
"renegade","8","NULL","2210","2715"
"renounce","8","NULL","775","2776"
"renovate","8","NULL","123","3403"
"renowned","8","2","1228","3353"
"reopened","8","1","380","3742"
"reorient","8","NULL","57","3143"
"repaired","8","11","2165","3217"
"rebelled","8","4","293","3376"
"repealed","8","3","906","3815"
"repeated","8","59","10161","3881"
"repeater","8","1","1691","3621"
"reassure","8","1","678","3003"
"reawaken","8","1","47","2801"
"rebuffed","8","4","189","2447"
"rebuilds","8","1","296","1893"
"rebuttal","8","2","1608","2280"
"rebutted","8","2","215","2963"
"recalled","8","26","2175","3748"
"recanted","8","1","158","3945"
"receding","8","5","248","4298"
"receipts","8","7","1386","2402"
"received","8","163","60413","3212"
"receiver","8","13","7941","2952"
"receives","8","20","6113","3020"
"recently","8","123","73587","3163"
"recessed","8","2","272","3740"
"recharge","8","NULL","835","2634"
"recitals","8","3","100","3031"
"reciting","8","2","428","4704"
"reckless","8","9","1123","3969"
"reckoned","8","3","708","3868"
"recoiled","8","1","100","3645"
"recopied","8","1","34","3362"
"recorded","8","43","16695","3752"
"recorder","8","7","4158","3492"
"recounts","8","3","322","2909"
"recouped","8","1","81","3214"
"recourse","8","6","1831","2997"
"recovers","8","1","570","3450"
"recovery","8","29","9992","3357"
"recreate","8","1","1604","3822"
"recruits","8","8","1524","2686"
"rector's","8","3","19","2924"
"recurred","8","3","87","3457"
"recusant","8","1","2","2869"
"redbirds","8","3","26","1960"
"redcoats","8","9","30","2617"
"reddened","8","1","194","3868"
"redeemed","8","1","684","3266"
"redeploy","8","NULL","24","2347"
"redheads","8","1","294","2131"
"redirect","8","1","1989","2638"
"redolent","8","NULL","38","3362"
"redouble","8","NULL","162","2256"
"reducing","8","31","7030","3758"
"redwoods","8","2","392","1815"
"referent","8","1","188","4216"
"referral","8","6","2637","3856"
"referred","8","45","14346","4397"
"refilled","8","1","240","3402"
"refinery","8","NULL","426","3645"
"refining","8","2","611","4334"
"reflects","8","23","4325","2825"
"reflexes","8","6","708","2818"
"refolded","8","1","21","3006"
"reforest","8","NULL","14","3476"
"reformed","8","3","1114","3271"
"reformer","8","3","182","3011"
"refugees","8","7","4213","2609"
"refunded","8","1","785","3040"
"refusing","8","10","3539","3826"
"radiance","8","3","585","1599"
"radiated","8","4","509","2484"
"radiates","8","1","195","2292"
"radiator","8","4","1051","1691"
"radicals","8","4","1168","1600"
"raftered","8","1","1","3572"
"railhead","8","2","28","1416"
"railroad","8","58","4755","1167"
"railways","8","1","1016","1075"
"raincoat","8","NULL","191","2075"
"raindrop","8","NULL","68","1546"
"rainfall","8","3","547","1586"
"rainless","8","1","3","2702"
"rakishly","8","1","4","1110"
"rallying","8","2","591","3290"
"rambling","8","2","1642","3078"
"ranchers","8","7","798","3065"
"Randolph","8","9","1400","1770"
"rapidity","8","4","124","1400"
"raptures","8","1","15","1888"
"Rapunzel","8","1","74","818"
"rarified","8","1","53","2865"
"rateable","8","1","3","2195"
"ratified","8","4","1161","2410"
"rational","8","25","11109","2389"
"rationed","8","3","98","2952"
"rattlers","8","1","45","3156"
"rattling","8","7","493","3505"
"ravenous","8","2","221","1649"
"Rawlings","8","4","487","2776"
"reaching","8","43","7359","4669"
"reacting","8","4","1315","4961"
"reaction","8","124","16706","3868"
"reactive","8","NULL","1510","3402"
"reactors","8","6","1040","3175"
"readable","8","2","4681","2951"
"reader's","8","4","1295","4392"
"readings","8","17","4044","4570"
"readjust","8","2","184","2830"
"readying","8","1","151","4232"
"reaffirm","8","2","305","2505"
"reagents","8","3","384","3652"
"realized","8","69","17381","3738"
"realizes","8","3","2479","3546"
"realness","8","1","39","3620"
"realtors","8","19","275","3040"
"reappear","8","2","563","3040"
"rearmost","8","NULL","29","3107"
"rearward","8","NULL","89","3064"
"reasoned","8","4","1570","4166"
"reassert","8","1","124","3790"
"reassign","8","1","136","2912"
"pullback","8","NULL","125","1380"
"pullover","8","2","125","2076"
"pummeled","8","1","133","2397"
"punching","8","2","1259","2987"
"punctual","8","NULL","70","1393"
"puncture","8","NULL","472","1389"
"pungency","8","1","10","1915"
"punished","8","7","3817","2256"
"punishes","8","1","272","2064"
"punitive","8","1","736","1844"
"puppet's","8","1","5","1447"
"puppyish","8","1","6","995"
"purchase","8","47","34455","1543"
"purebred","8","NULL","928","2507"
"purified","8","10","1754","2231"
"puritans","8","3","182","2087"
"purports","8","2","548","1611"
"purposed","8","1","56","2155"
"purposes","8","90","23468","1963"
"pursuant","8","27","2261","1693"
"pursuers","8","2","90","2200"
"pursuing","8","9","3134","2799"
"pursuits","8","3","741","1568"
"purveyor","8","1","284","1434"
"pushcart","8","NULL","24","1093"
"pushover","8","NULL","98","1579"
"pussycat","8","1","310","1736"
"puzzling","8","9","779","2544"
"pyramids","8","1","2450","825"
"quackery","8","6","114","2063"
"quadrant","8","NULL","1444","1635"
"quagmire","8","1","1652","854"
"quandary","8","NULL","163","1444"
"quantify","8","NULL","847","1730"
"quantity","8","33","10343","2132"
"quarrels","8","4","191","1363"
"queerest","8","1","5","3186"
"quarters","8","28","4460","2636"
"quatrain","8","2","119","2245"
"Quebec's","8","1","297","833"
"quelling","8","1","32","2776"
"querying","8","1","404","2592"
"question","8","257","184252","2086"
"quickest","8","1","2808","1875"
"quilting","8","NULL","860","2949"
"quintets","8","1","34","1915"
"quipping","8","1","15","2421"
"quitting","8","4","1112","3011"
"quivered","8","1","222","3165"
"quotable","8","NULL","154","1238"
"quotient","8","NULL","424","2059"
"Rachel's","8","2","260","1504"
"racially","8","1","666","1521"
"programs","8","139","109080","2327"
"progress","8","120","20169","3054"
"prohibit","8","2","3665","2184"
"prolongs","8","1","72","3357"
"projects","8","68","30888","2315"
"prolific","8","2","843","2831"
"prologue","8","NULL","826","2241"
"promised","8","45","9925","3316"
"promises","8","20","6714","3124"
"promoted","8","12","3542","3180"
"promoter","8","1","992","2920"
"promotes","8","4","2458","2988"
"prompted","8","7","3213","3167"
"prompter","8","NULL","64","2907"
"promptly","8","28","4291","2151"
"pronouns","8","4","522","2307"
"properly","8","55","29409","3703"
"property","8","156","33095","3701"
"prophecy","8","5","3259","2332"
"prophesy","8","NULL","518","2964"
"prophets","8","4","2658","2576"
"proposal","8","41","18999","2542"
"proposed","8","84","21887","3226"
"proposes","8","7","1368","3034"
"propping","8","1","224","3858"
"prosodic","8","3","42","2505"
"prospect","8","25","3912","2334"
"prospers","8","1","38","3246"
"prostate","8","2","1209","3596"
"protease","8","1","497","3056"
"protests","8","11","2622","3868"
"protects","8","4","2932","3242"
"protegee","8","NULL","10","2925"
"proteins","8","14","2245","3742"
"protocol","8","3","21507","2423"
"Protozoa","8","7","642","2232"
"protract","8","NULL","4","3007"
"protrude","8","1","164","2495"
"Prussian","8","1","340","2242"
"proudest","8","1","71","3055"
"Provence","8","NULL","214","2971"
"proverbs","8","1","690","3402"
"provided","8","132","50365","3058"
"provider","8","NULL","24078","2798"
"provides","8","81","44337","2866"
"province","8","15","6449","3284"
"provoked","8","7","1039","2619"
"provokes","8","4","233","2427"
"prowlers","8","1","36","3733"
"prowling","8","2","117","4082"
"proximal","8","2","67","2243"
"prudence","8","6","391","2467"
"Psalmist","8","5","29","1044"
"puffball","8","NULL","15","1003"
"psyllium","8","3","41","778"
"publicly","8","27","8980","1593"
"public's","8","6","713","1613"
"puckered","8","2","301","3555"
"puddings","8","1","67","2619"
"preludes","8","1","192","2770"
"premiere","8","5","4070","3355"
"premises","8","8","2651","3096"
"premiums","8","2","982","2029"
"prenatal","8","NULL","1019","2859"
"prepared","8","102","21850","3345"
"prepares","8","4","1049","3153"
"presence","8","76","23804","3176"
"presided","8","1","397","3337"
"presents","8","33","9524","3316"
"preserve","8","35","6306","3691"
"presides","8","1","78","3145"
"pressing","8","25","8070","3983"
"pressman","8","NULL","602","2615"
"pressure","8","185","28433","2397"
"prestige","8","29","1702","2993"
"presumed","8","12","1943","3031"
"presumes","8","3","579","2839"
"pretence","8","4","159","3335"
"pretends","8","2","758","3218"
"pretense","8","6","693","3363"
"pretexts","8","2","63","2578"
"pretrial","8","1","116","3012"
"prettier","8","4","590","3183"
"prettily","8","2","90","2761"
"prevails","8","7","488","2054"
"prevents","8","10","5674","3067"
"previous","8","86","68239","2190"
"pricking","8","1","53","3699"
"priestly","8","1","338","2723"
"priest's","8","1","227","2752"
"primates","8","1","52976","3207"
"primeval","8","5","271","2244"
"primping","8","1","52","3587"
"primrose","8","NULL","250","2005"
"princely","8","NULL","157","2513"
"prince's","8","3","343","2447"
"princess","8","10","7524","3083"
"printing","8","18","22497","4481"
"printout","8","NULL","1166","2488"
"priority","8","18","11719","2825"
"prisoner","8","7","4485","3076"
"pristine","8","2","1141","3812"
"probable","8","24","4356","2265"
"probably","8","261","205006","2154"
"probings","8","1","8","3728"
"problems","8","247","193241","2677"
"proceeds","8","16","3507","3011"
"proclaim","8","13","1362","2211"
"proctors","8","1","84","2509"
"procured","8","4","220","3313"
"procurer","8","3","48","3053"
"prodding","8","1","303","3706"
"prodigal","8","1","2154","2465"
"produced","8","90","28614","2811"
"producer","8","16","7676","2551"
"produces","8","19","9877","2619"
"products","8","108","94325","2280"
"profiles","8","3","3209","3063"
"profited","8","3","175","3341"
"profound","8","27","3756","2148"
"populate","8","1","432","2193"
"populism","8","NULL","136","1622"
"populist","8","NULL","786","1850"
"populous","8","5","670","1178"
"porpoise","8","NULL","132","2005"
"porridge","8","1","240","2140"
"portable","8","13","13348","2228"
"portents","8","1","220","3211"
"porter's","8","2","112","3745"
"porthole","8","NULL","61","2307"
"portions","8","11","4848","2669"
"Portland","8","24","10701","2327"
"portrait","8","17","2688","2564"
"portrays","8","5","516","2296"
"Portugal","8","4","3724","2008"
"Poseidon","8","1","301","1575"
"position","8","241","144944","2455"
"positive","8","74","27619","1989"
"positron","8","NULL","305","1930"
"possible","8","373","159908","1625"
"possibly","8","61","40285","1514"
"postcard","8","7","1782","1944"
"postcode","8","NULL","104","1751"
"postdate","8","NULL","26","2613"
"postmark","8","2","177","1921"
"postpone","8","7","641","2030"
"postures","8","2","243","2730"
"potatoes","8","15","2572","1977"
"potbelly","8","NULL","30","1340"
"pothouse","8","NULL","0","1562"
"poultice","8","3","24","2141"
"pounding","8","6","2014","3415"
"powdered","8","7","1429","3490"
"powerful","8","63","32105","2230"
"practice","8","94","44294","3177"
"praising","8","2","850","4176"
"prancing","8","3","149","4320"
"preached","8","8","928","3328"
"preacher","8","11","3502","3068"
"preaches","8","1","379","3136"
"preamble","8","4","1053","2557"
"preceded","8","15","1483","3879"
"precedes","8","1","401","3687"
"precepts","8","3","554","2401"
"precinct","8","8","446","3435"
"precious","8","29","6432","2392"
"preclude","8","4","1284","2131"
"predator","8","NULL","2646","2663"
"preening","8","1","73","4439"
"prefaced","8","2","234","2836"
"predicts","8","3","1068","2803"
"prefixes","8","1","496","2405"
"pregnant","8","8","10439","2467"
"prejudge","8","NULL","77","1847"
"plasters","8","1","22","3156"
"plastics","8","32","1439","2314"
"plateful","8","NULL","46","2004"
"platform","8","72","24499","1418"
"platinum","8","4","3511","2889"
"platonic","8","3","471","2366"
"platoons","8","3","101","1842"
"platters","8","1","315","2963"
"platypus","8","NULL","193","1322"
"playable","8","1","2829","1314"
"playback","8","1","3007","1179"
"playbill","8","NULL","114","1247"
"player's","8","7","2966","2466"
"playmate","8","2","532","2180"
"playroom","8","1","209","1166"
"playsuit","8","NULL","6","1216"
"playtime","8","1","197","1688"
"pleading","8","12","1255","2931"
"pleasant","8","38","6736","1736"
"pleasing","8","10","1676","3008"
"pleasure","8","62","16862","1422"
"plebeian","8","1","16","1271"
"plethora","8","NULL","960","1497"
"plodding","8","4","173","2637"
"plotting","8","2","2163","3341"
"plucking","8","1","281","2651"
"plugging","8","1","1428","2413"
"plugugly","8","2","1","827"
"plumbing","8","9","1303","2449"
"plunging","8","3","469","2691"
"plunking","8","2","69","2678"
"Plymouth","8","11","2559","717"
"pocketed","8","1","182","2902"
"pocket's","8","1","7","1915"
"pockmark","8","NULL","0","1505"
"podiatry","8","NULL","17","1599"
"poetical","8","NULL","63","2077"
"poetry's","8","1","23","1175"
"poignant","8","6","475","1479"
"pointers","8","1","13503","2965"
"pointing","8","26","12081","3580"
"poisoned","8","4","1096","2435"
"Poland's","8","2","106","1883"
"polarity","8","5","4316","2283"
"polarize","8","1","146","1996"
"Polaroid","8","1","636","1609"
"polemics","8","1","184","1773"
"policies","8","68","15119","2574"
"policing","8","3","796","3524"
"polished","8","14","1988","2759"
"polishes","8","1","95","2567"
"politely","8","10","2377","2498"
"politics","8","69","20224","2449"
"polities","8","1","28","2956"
"pollster","8","NULL","224","3000"
"polluted","8","1","624","2860"
"polygamy","8","NULL","831","1104"
"polymers","8","4","752","2262"
"pondered","8","4","563","4857"
"ponytail","8","NULL","309","1971"
"poolroom","8","NULL","5","1350"
"populace","8","4","2005","1422"
"phonemes","8","2","243","1909"
"phonemic","8","8","98","1582"
"phonetic","8","2","977","2237"
"phosphor","8","13","337","1183"
"phrasing","8","4","898","2804"
"physical","8","138","44223","1391"
"physique","8","2","472","597"
"pianists","8","3","336","1916"
"picketed","8","2","72","2764"
"pickoffs","8","1","3","934"
"pictured","8","4","960","2131"
"pictures","8","68","34996","1939"
"piddling","8","1","97","2893"
"piecrust","8","NULL","3","1110"
"piercing","8","3","7012","2870"
"pigments","8","3","333","1875"
"pilgrims","8","6","419","1256"
"pillaged","8","1","106","2513"
"pillager","8","NULL","2","2253"
"pillared","8","2","5","2891"
"piloting","8","2","375","3201"
"pimplike","8","1","0","1517"
"pinafore","8","NULL","41","1456"
"pinching","8","2","569","3256"
"pinecone","8","NULL","118","1953"
"pinewood","8","NULL","118","1346"
"pingpong","8","NULL","26","2269"
"pinholes","8","1","56","2164"
"pinioned","8","1","35","2743"
"pinnacle","8","1","6683","1560"
"pinnings","8","1","3","3094"
"pinochle","8","1","65","1595"
"pinpoint","8","5","851","2374"
"pinprick","8","NULL","16","1680"
"pinscher","8","1","92","2130"
"pinwheel","8","NULL","51","1327"
"pioneers","8","3","999","1969"
"pipeline","8","6","4156","2720"
"piquancy","8","NULL","9","975"
"pitchers","8","8","916","2390"
"pitching","8","16","1347","2801"
"pitfalls","8","1","1031","1009"
"pitiable","8","3","61","1434"
"pitiless","8","2","37","2723"
"pittance","8","NULL","241","1762"
"pivoting","8","1","150","2914"
"pizzeria","8","NULL","87","2237"
"placenta","8","NULL","3830","2441"
"plainest","8","1","20","2747"
"planet's","8","1","597","2164"
"planking","8","8","56","3227"
"plankton","8","NULL","133","1944"
"planners","8","13","2208","2757"
"planning","8","129","32800","3353"
"plantain","8","1","31","2762"
"planters","8","2","160","3296"
"planting","8","5","1392","3911"
"penchant","8","1","583","2336"
"penciled","8","1","114","2858"
"pendulum","8","2","685","1765"
"penitent","8","NULL","78","2869"
"penknife","8","NULL","21","1443"
"pennants","8","1","107","2153"
"pensions","8","7","773","2187"
"pentagon","8","13","2011","2253"
"people's","8","19","18811","1916"
"peppered","8","2","150","3704"
"peptides","8","2","274","2441"
"perceive","8","13","3388","1772"
"perilous","8","8","314","2094"
"perforce","8","2","102","1816"
"performs","8","4","4616","1697"
"perfumed","8","2","121","2297"
"perfumes","8","1","191","2105"
"periodic","8","9","4909","2188"
"perished","8","1","377","2990"
"perishes","8","1","46","2798"
"permeate","8","1","162","2836"
"peroxide","8","2","594","1640"
"Persians","8","12","426","2165"
"person's","8","4","9107","2173"
"persists","8","7","1193","2425"
"personal","8","196","108044","2469"
"perspire","8","NULL","42","1828"
"persuade","8","17","2463","1730"
"pertains","8","5","924","2940"
"perusing","8","1","390","3320"
"Peruvian","8","2","1302","1846"
"pervaded","8","1","108","2414"
"pervades","8","2","228","2222"
"perverse","8","5","1116","3337"
"petition","8","15","10168","2717"
"petulant","8","1","143","1967"
"pharisee","8","NULL","166","2002"
"pharmacy","8","5","2097","1443"
"pheasant","8","1","291","1702"
"parishes","8","1","242","3273"
"Parisian","8","3","183","3152"
"parkland","8","NULL","307","2471"
"parklike","8","1","0","2293"
"parlance","8","2","424","2632"
"parlayed","8","1","56","2783"
"Parmesan","8","NULL","369","3182"
"parodied","8","2","130","3069"
"parodies","8","1","589","2877"
"parolees","8","2","35","3442"
"paroxysm","8","NULL","20","1908"
"partaker","8","1","15","2824"
"partakes","8","2","48","2892"
"particle","8","21","5898","3222"
"partings","8","1","9","4456"
"partisan","8","21","1467","3244"
"partners","8","16","10358","3339"
"Pasadena","8","6","2340","1999"
"passable","8","1","434","1811"
"passages","8","20","2861","2257"
"passbook","8","NULL","42","1483"
"passerby","8","1","104","3012"
"passions","8","12","912","2098"
"Passover","8","NULL","783","2167"
"passport","8","6","4237","1665"
"password","8","NULL","20193","1605"
"pastimes","8","1","223","3260"
"pastness","8","1","2","2959"
"pastoral","8","6","422","3006"
"pastor's","8","2","40","2659"
"pastrami","8","NULL","33","2587"
"pastures","8","2","534","3065"
"patented","8","3","1851","3863"
"paternal","8","NULL","459","3806"
"pathetic","8","8","8150","2924"
"pathless","8","1","8","3083"
"pathways","8","3","1005","1635"
"patience","8","22","5636","2587"
"patients","8","36","14318","2727"
"Patricia","8","7","3969","2597"
"patriots","8","1","1214","2251"
"pattered","8","1","4","4586"
"patterns","8","47","12698","3585"
"pauper's","8","1","10","2736"
"pavement","8","11","1958","2115"
"pavilion","8","4","672","2290"
"pawnshop","8","3","70","1261"
"paycheck","8","2","1190","1499"
"payments","8","49","8078","2037"
"peaceful","8","26","5918","2006"
"peacocks","8","4","121","1804"
"peasants","8","12","1684","2417"
"pectoral","8","NULL","75","2288"
"peculiar","8","27","2956","2113"
"pedagogy","8","NULL","286","947"
"pedantic","8","2","910","2350"
"peddlers","8","1","127","2800"
"pedestal","8","5","626","2567"
"pedicure","8","NULL","33","1686"
"pedigree","8","3","858","1644"
"pediment","8","NULL","9","1951"
"peekaboo","8","NULL","64","988"
"peephole","8","NULL","112","1400"
"peerless","8","4","165","2893"
"pegboard","8","6","34","1117"
"penalize","8","NULL","421","2125"
"overstep","8","NULL","60","1990"
"overtake","8","3","403","1458"
"overtime","8","3","2029","1968"
"overtone","8","NULL","143","1797"
"overtook","8","1","194","1367"
"overture","8","5","744","1553"
"overturn","8","NULL","671","1365"
"overwork","8","NULL","111","1236"
"Oxford's","8","1","37","864"
"oxidised","8","2","34","1736"
"pacifier","8","1","406","2006"
"pacifies","8","1","1","2074"
"pacifism","8","3","118","1619"
"pacifist","8","2","309","1847"
"packaged","8","6","3224","2432"
"packages","8","6","22532","2240"
"paganism","8","1","807","1838"
"pageants","8","5","39","1952"
"paginate","8","NULL","22","2730"
"painless","8","3","1220","2978"
"paintbox","8","NULL","46","1709"
"painters","8","13","503","3309"
"painting","8","59","5514","3924"
"Pakistan","8","7","11206","2144"
"palace's","8","2","11","1839"
"paleface","8","NULL","25","1887"
"paleness","8","1","23","3139"
"palisade","8","NULL","39","2147"
